,star,text,symptom
0,1.0,"Hmm.. I never write reviews on here, but I felt I had to with this place.

First of all, it was expensive for the quantity that they give you. If the food was actually good and they had the atmosphere to match it would've made more sense to me. That was not the case - the restaurant was basic and to be honest, pretty run down for a restaurant on King West I'd expected better. The staff was rude with answering any questions and when the food came the ingredients were old and tasted like MOLD. I didn't even finish it before the waitress took it away and didn't think twice to ask why I left it (most staff will ask if you enjoyed the food at a good quality place - not here!) 

I would never go back here or recommend it to anyone in the area AND I agree with the post about food poisoning I was sick for two days after eating here!!! YUCK, disgusting. :(",poison
1,2.0,"sadly I have to write a bad review, I got food poisoning from here, I called to speak to the manager just to inform, but when I asked for the manager one of the employees told me to call back later, so I did, then I kept trying to call back and I never got an answer. Other than that when I ordered the food, the front service was very polite and nice.",poison
2,1.0,The b7 I ordered looks/tastes nothing like night market fried chicken tender in Taiwan. Vegetable on the side is over cooked. My friend and I have diarrhea after eating at Phusion Cafe...,diarrhea
3,2.0,"The food was pretty good! Went there for dinner on a weekday and they were not busy at all. All attentive hostess and the food came out fast.
The bad news is that it gave my bf diarrhea after eating it. It was the only thing he had the whole day and he woke up at midnight with a bad case of diarrhea... So if you go there, go at your own risk....",diarrhea
4,2.0,"Don't stay here if you plan on having diarrhea!!!!  It took the toilet eight flushes to get everything down.  Meanwhile, the shower didn't have any hot water.  We called to have it fixed and they said they would fix it but they didn't.  After our 2nd call they said they'd take one night of hotel fees off our bill.  

The beds were comfortable, the couple I was staying with said they could hear our neighbors through the wall but I didn't.  The hotel is cute, the Flamingo garden is awesome.  The buffet was the worst I've had in Vegas (compared to Luxor and Excaliber.)  I wouldn't stay here again.",diarrhea
5,1.0,My wife ate here a few hours ago. She now has the WORST case of food poisoning. We will never eat here again!,poison
6,1.0,"Pookie was our server, she was awesome, full of personality and bubbly, offering miso soup on the house which was amazing. I ordered a spicy tuna hand roll, spicy yellowtail handroll, and a spicy tuna roll, all of which are my go-to items at a sushi restaurant. Not only did the food not taste that fresh, three hours later I am now vomiting clear liquid nonstop after all the rolls have came up. Food poisoning is no laughing matter, I will never go here again.",poison
7,1.0,"The staff are hit or miss. One or two of the guys are nice, the rest seem to absolutely hate it there. 
I (used to) grab slices from here because I live close and it's cheap, but I found every second time I did, I got really Ill afterwords.  I can only speak for the veggie or cheese slices, but if THATS giving me food poisoning, I'd be really afraid of touching any meat product here. Something is wrong with the food in this place.  You're also surrounded by mirrors inside, and I often find myself looking into them asking myself what fuck I'm doing eating there again.",poison
8,2.0,"A bit overhyped as the food was a little too salty for my taste. The waitstaff and ambiance was great, but my husband and I both suffered extreme food poisoning from the rainbow trout we both had, so that definitely cemented our review of this place as negative.",poison
9,1.0,"My husband and I have gone to this place for a few years now. Definitely noticed that there is either new owners or new cooks. We've always ordered the same thing. Ribeye pho, wonton & bbq pork egg noodle soup & egg rolls. Several months ago I was pregnant and wanted pho. We ordered our usual and we both got sick. My husband has a pretty strong stomach & he was a lot sicker than I was. It's been a while now and we tried them again last week. I had food poisoning for 3 days. We'll never go back again. We like our health.",poison
10,1.0,"Do NOT eat here. The food made me violently ill. I should have known it was a red flag when I saw employees sleeping in the booths in the back of the restaurant, very unprofessional... But the price was right. Anyways I was poisoned for 24 hrs. Muscle pains. Cold sweats. Heavy vomiting and diarrhea. I can only imagine the other poor patrons who were eating there probably all got sick too.",poison
11,1.0,"Only two words ""Don't Go"". Unless you like food poisoning!  And I ate Cooked food!!  2 days in the hospital -- save yourself the money!",poison
12,1.0,FOOD POISONING!!!!  I have gotten take out 3 times.  First 2 food was good enough but not great.  3rd Time-The worst food poisoning I have ever had.  Will NEVER go back here,poison
13,1.0,"My boyfriend and I were in town for our anniversary getaway. So after seeing an excellent show we both decided to go to a drive thru to get food for dinner so it'll be faster and we can have it in our hotel. We agreed on going to Smashburger to try it out since we've never been to one. Although the cashier was very nice, I cannot say the same about the food that we got. 

With the price we paid for, we were given food that wasn't our order. We ordered Avocado Club Beef and Smashburger beef with salad and we both got Bacon Cheeseburger and salad. I'm surely don't think it was a mixed up because we were the only one waiting in the drive thru.

The worst part is that my boyfriend ended up getting food poisoning. Surely it came from what he ate from that place because some of it came out when he was throwing up early this morning. 

We will not be going to this place at all and will not refer it to anyone.",throwing up
14,1.0,I had Barrio food truck at a graduation party on Saturday and I got food poisoning. At least 40 others did as well.,poison
15,2.0,First time I ate here I got food poisoning. I had a honey mustard chicken wrap. Thought it would be safe but I was in bed and the bathroom for two days. No bueno. Needless to say I'll be avoiding the food here for a while.,poison
16,1.0,"Within an hour of being home after eating there, the three of us had food poisoning and got SO sick!  Never eat there!  Horrible!",poison
17,1.0,"Service was good.  Food was terrible, from bread stick and dips to artichoke/goat cheese ravoli to seafood risotto.  My companion ended up with food poisoning, think it was the clams!   Would not go there again.",poison
18,1.0,TRASH.  Its like a gross ass food truck inside a convince store.  I highly do not recommend this place.  Just turned my stomach thinking about the food poisoning this hole in a hole caused me,poison
